Leap Product,Plan,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Billing State/Province,Current MRR
Leap,Enterprise 2021,not found,Contractors - Building,870,65,56550,PA,56550
Leap,Premium 2019,not found,Contractors - Building,225,49.5,11137.5,FL,11137.5
Leap,Enterprise 2021,not found,Glass Products & Services,252,85,21420,Ohio,21420
Leap,Premium 2019,not found,Glass Products & Services,201,55,11055,FL,11055
Leap,Premium 2019,236118,Glass Products & Services,124,55,6820,NM,6820
Leap,Premium 2019,not found,Construction Supplies & Services,93,66,6138,TX,6138
Leap,Premium 2019,not found,Contractors - Building,62,55,3410,LA,3410
Leap,Premium 2019,238330,Glass Products & Services,75,54.4,4080,Virginia,4080
Leap,Premium 2019,not found,Contractors - Building,73,56.09,4094.57,PA,4094.57
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,167,54,9018,CA,9018
Leap,Premium 2019,238160,Contractors - Roofing,30,38.5,1155,TX,1155
Leap,Enterprise 2021,not found,Contractors - Roofing,170,67.5,11475,MD,11475
Leap,Premium 2020,not found,Contractors - Roofing,95,65,6175,MD,6175
Leap,Premium 2019,423310,Glass Products & Services,48,55,2640,NJ,2640
Leap,Enterprise 2021,423310,Glass Products & Services,65,90,5850,FL,5850
Leap,Enterprise 2021,not found,Contractors - Roofing,1,99,99,DE,99
Leap,Premium 2020,not found,,140,74.25,10395,AZ,10395
Leap,Premium 2019,not found,Glass Products & Services,37,55,2035,FL,2035
Leap,Enterprise 2021,236118,Contractors - Roofing,105,68.7,7213.5,MD,7213.5
Leap,Premium 2019,not found,Contractors - Roofing,32,60,1920,MD,1920
Leap,Premium 2019,not found,Contractors - Building,30,60,1800,IL,1800
Leap,Premium 2019,not found,Glass Products & Services,37,58.5,2164.5,Kansas,2164.5
Leap,Premium 2019,not found,Contractors - Building,27,85.5,2308.5,Massachusetts,2308.5
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,30,88,2640,TN,2640
Leap,Premium 2020,not found,"Heating, Ventilation & Air Conditioning",50,60.5,3025,MN,3025
Leap,Premium 2020,not found,Contractors - Roofing,45,99,4455,NJ,4455
Leap,Premium 2019,not found,Carpet & Flooring,19,66,1254,Indiana,1254
Leap,Premium 2019,not found,Contractors - Building,26,79.2,2059.2,OH,2059.2
Leap,Premium 2019,not found,Contractors - Building,44,60.5,2662,Idaho,2662
Leap,Premium 2019,not found,Contractors - Building,20,95,1900,CO,1900
Leap,Premium 2019,not found,Contractors - Roofing,66,57,3762,MI,3762
Leap,Premium 2019,not found,Glass Products & Services,24,80,1920,IL,1920
Leap,Premium 2019,not found,Contractors - Roofing,18,79.2,1425.6,CT,1425.6
