Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
Leap,bPjAj0Af6c,Florida Home Improvement Associates,Premium 2019,0014100001VA9s6,1571,10/15/23,2/27/19,not found,Contractors - Building,225,49.5,11137.5,2000,"$567,291 ",33312,Fort Lauderdale,FL,Yesenia Romero,Yesenia Romero,11137.5,250+ employees,500-999 employees,200,0,225,0,11137.5
Leap,Ty3vKUkLwO,Universal Home Remodeling,Enterprise 2021,0014100000kuDaD,2892,10/19/23,4/19/21,not found,Glass Products & Services,252,85,21420,0,"$469,570 ",44146,Oakwood Village,Ohio,Jordan Kahlenberg,Jordan Kahlenberg,21420,250+ employees,250-499 employees,79,0,252,0,21420
Leap,GCr4VBSivv,"NewSouth Window Solutions, LLC",Premium 2019,00141000012ChGo,1312,10/31/23,7/1/18,not found,Glass Products & Services,201,55,11055,2500,"$415,797 ",33610,Tampa,FL,Jordan Kahlenberg,Jordan Kahlenberg,11055,250+ employees,500-999 employees,51,0,201,0,11055
Leap,KV0NoV10jS,Dreamstyle Remodeling inc.,Premium 2019,0014100001OxDUf,1227,11/8/23,2/8/18,236118,Glass Products & Services,124,55,6820,0,"$382,610 ",87107,Albuquerque,NM,Jordan Kahlenberg,Jordan Kahlenberg,6820,250+ employees,500-999 employees,175,0,124,0,6820
Leap,OvIlF7y3dD,Expo Home,Premium 2019,0014100000c0TK7,1107,10/24/23,6/24/17,not found,Construction Supplies & Services,93,66,6138,2500,"$297,549 ",75006,Carrollton,TX,Jordan Kahlenberg,Jordan Kahlenberg,6138,50-249 employees,50-99 employees,85,0,93,0,6138
Leap,AmIPDZORFU,Max Home,Premium 2019,0014100000pgUaR,1146,10/11/23,10/11/17,not found,Contractors - Building,62,55,3410,2000,"$258,612 ",70121,Jefferson,LA,Yesenia Romero,Yesenia Romero,3410,50-249 employees,100-249 employees,43,0,62,0,3410
Leap,XhAglgE3uX,Northwest Window and Door,Premium 2019,0014100000sBxV3,1240,11/7/23,3/7/18,238330,Glass Products & Services,75,54.4,4080,1500,"$258,244 ",23454,Virginia Beach,Virginia,Yesenia Romero,Yesenia Romero,4080,250+ employees,250-499 employees,66,0,75,0,4080
Leap,TMlr3dUTGX,Install America,Premium 2019,0014100000eQ1bO,1111,11/6/23,7/6/17,not found,Contractors - Building,73,56.09,4094.57,2500,"$231,668 ",19540,Mohnton,PA,Colton Temanson,Colton Temanson,4094.57,50-249 employees,50-99 employees,46,0,73,0,4094.57
Leap,EdAjBufzNM,Reborn Cabinets,Premium 2019,0011K000027SYNX,2249,10/31/23,12/31/19,not found,Home Improvement & Remodeling Services,167,54,9018,0,"$213,113 ",92806,Anaheim,CA,Jordan Kahlenberg,Jordan Kahlenberg,9018,250+ employees,500-999 employees,150,0,167,0,9018
Leap,IeNO4ECFhP,Beldon Roofing Company,Premium 2019,0014100000IAgpY,1031,11/1/23,1/30/17,238160,Contractors - Roofing,30,38.5,1155,0,"$191,406 ",78213,San Antonio,TX,Francesca Furnells,Francesca Furnells,1155,50-249 employees,100-249 employees,45,0,30,0,1155
Leap,5XlOmeNBQo,Long Home Products,Enterprise 2021,00141000019vgt9,3359,10/26/23,3/26/22,not found,Contractors - Roofing,170,67.5,11475,0,"$187,912 ",20705,Beltsville,MD,Yesenia Romero,Yesenia Romero,11475,50-249 employees,100-249 employees,130,0,170,0,11475
Leap,2MigwO5KS3,MLMHI,Premium 2020,0014100000RxZ06,2760,10/16/23,12/16/20,not found,Contractors - Roofing,95,65,6175,0,"$186,199 ",20852,Bethesda,MD,Sydney Stansell,Sydney Stansell,6175,50-249 employees,50-99 employees,10,0,95,0,6175
Leap,F4UJbvk6pQ,Castle Windows,Premium 2019,0014100001PJyfb,1259,11/2/23,4/2/18,423310,Glass Products & Services,48,55,2640,1500,"$170,000 ",8054,Mt Laurel,NJ,Yesenia Romero,Yesenia Romero,2640,50-249 employees,50-99 employees,125,0,48,0,2640
Leap,XoQ5hyuNeF,Wright's Impact Window & Door,Enterprise 2021,0011K00002JVxzq,2973,10/18/23,6/18/21,423310,Glass Products & Services,65,90,5850,0,"$161,958 ",33405,West Palm Beach,FL,Sydney Stansell,Sydney Stansell,5850,50-249 employees,50-99 employees,16,0,65,0,5850
Leap,yfrRKmdXuj,PJ Fitzpatrick,Enterprise 2021,0014100001NENk6,1265,10/30/23,4/17/18,not found,Contractors - Roofing,1,99,99,2500,"$160,525 ",19720,New Castle,DE,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,35,0,1,0,99
Leap,Thjde3lBFN,Jacuzzi,Premium 2020,0011K00002PQllM,2922,10/30/23,4/30/21,not found,,140,74.25,10395,2250,"$155,208 ",,,AZ,Sydney Phillips,Sydney Phillips,10395,50-249 employees,100-249 employees,,0,140,0,10395
Leap,CcUZVm000a,Paradise Exteriors,Premium 2019,0014100000PDe14,1105,10/20/23,6/20/17,not found,Glass Products & Services,37,55,2035,2500,"$154,963 ",33426,Boynton Beach,FL,Jordan Kahlenberg,Jordan Kahlenberg,2035,50-249 employees,100-249 employees,20,0,37,0,2035
Leap,Wmr9Uw8mHa,Homefix Custom Remodeling,Enterprise 2021,0014100000VSBhr,3166,10/23/23,11/23/21,236118,Contractors - Roofing,105,68.7,7213.5,0,"$152,751 ",21045,Columbia,MD,Jordan Kahlenberg,Jordan Kahlenberg,7213.5,250+ employees,250-499 employees,100,0,105,0,7213.5
Leap,bUuD68AYzm,American Design & Build,Premium 2019,0014100000EQQIN,1006,11/1/23,10/10/16,not found,Contractors - Roofing,32,60,1920,15000,"$149,407 ",21014,Bel Air,MD,Sydney Stansell,Sydney Stansell,1920,20-49 employees,20-49 employees,26,0,32,0,1920
Leap,KNCFzE1gB1,Midwest Bath Co.,Premium 2019,00141000013vfra,1157,10/26/23,10/26/17,not found,Contractors - Building,30,60,1800,2500,"$141,233 ",61265,Moline,IL,Yesenia Romero,Yesenia Romero,1800,20-49 employees,20-49 employees,30,0,30,0,1800
Leap,1AoU4u2gcL,Alenco,Premium 2019,0014100001gNXMa,1318,10/19/23,7/19/18,not found,Glass Products & Services,37,58.5,2164.5,2000,"$129,245 ",66219,Lenexa,Kansas,Yesenia Romero,Yesenia Romero,2164.5,50-249 employees,100-249 employees,31,0,37,0,2164.5
Leap,AJcmzXBtu2,Vista Home Improvement,Premium 2019,0014100001NE8je,1229,10/13/23,2/13/18,not found,Contractors - Building,27,85.5,2308.5,2000,"$127,104 ",1089,west springfield,Massachusetts,Jordan Kahlenberg,Jordan Kahlenberg,2308.5,20-49 employees,20-49 employees,5,0,27,0,2308.5
